# BONE, CORTICAL (ICRP) from NIST Database
3.737e+00 8.574e-06 3.155e-02 4.327e-06 2.417e-03 2.034e-02
4.000e+00 7.484e-06 3.020e-02 3.956e-06 2.683e-03 1.994e-02
4.125e+00 7.037e-06 2.960e-02 3.801e-06 2.806e-03 1.978e-02
4.554e+00 5.773e-06 2.775e-02 3.348e-06 3.216e-03 1.926e-02
5.000e+00 4.789e-06 2.608e-02 2.977e-06 3.624e-03 1.879e-02
5.027e+00 4.737e-06 2.599e-02 2.957e-06 3.648e-03 1.876e-02
5.549e+00 3.888e-06 2.431e-02 2.617e-06 4.103e-03 1.833e-02
6.000e+00 3.325e-06 2.305e-02 2.379e-06 4.477e-03 1.799e-02
6.126e+00 3.190e-06 2.273e-02 2.320e-06 4.578e-03 1.792e-02
6.762e+00 2.618e-06 2.123e-02 2.061e-06 5.067e-03 1.757e-02
7.000e+00 2.443e-06 2.072e-02 1.978e-06 5.242e-03 1.745e-02
7.465e+00 2.148e-06 1.980e-02 1.834e-06 5.573e-03 1.724e-02
8.000e+00 1.870e-06 1.886e-02 1.692e-06 5.935e-03 1.701e-02
8.241e+00 1.763e-06 1.846e-02 1.635e-06 6.093e-03 1.693e-02
9.000e+00 1.478e-06 1.733e-02 1.477e-06 6.567e-03 1.671e-02
9.097e+00 1.447e-06 1.720e-02 1.459e-06 6.625e-03 1.668e-02
1.000e+01 1.197e-06 1.606e-02 1.310e-06 7.141e-03 1.645e-02
1.004e+01 1.188e-06 1.601e-02 1.304e-06 7.163e-03 1.644e-02
1.100e+01 9.895e-07 1.498e-02 1.177e-06 7.665e-03 1.628e-02
1.109e+01 9.735e-07 1.489e-02 1.166e-06 7.711e-03 1.627e-02
1.200e+01 8.315e-07 1.405e-02 1.068e-06 8.148e-03 1.614e-02
1.224e+01 7.992e-07 1.384e-02 1.045e-06 8.258e-03 1.611e-02
1.300e+01 7.085e-07 1.323e-02 9.779e-07 8.596e-03 1.601e-02
1.351e+01 6.559e-07 1.286e-02 9.372e-07 8.813e-03 1.595e-02
1.400e+01 6.107e-07 1.252e-02 9.012e-07 9.015e-03 1.590e-02
1.491e+01 5.385e-07 1.194e-02 8.414e-07 9.370e-03 1.580e-02
1.500e+01 5.321e-07 1.189e-02 8.359e-07 9.405e-03 1.579e-02
1.600e+01 4.677e-07 1.132e-02 7.794e-07 9.774e-03 1.573e-02
1.646e+01 4.419e-07 1.108e-02 7.558e-07 9.937e-03 1.571e-02
1.800e+01 3.695e-07 1.034e-02 6.861e-07 1.045e-02 1.563e-02
1.818e+01 3.622e-07 1.027e-02 6.788e-07 1.051e-02 1.562e-02
2.000e+01 2.993e-07 9.540e-03 6.128e-07 1.106e-02 1.554e-02
