# MUSCLE, STRIATED (ICRU) from NIST Database
1.259e+00 3.474e-05 6.237e-02 2.521e-06 1.920e-05 2.933e-02
1.390e+00 2.850e-05 5.923e-02 2.124e-06 5.431e-05 2.861e-02
1.500e+00 2.447e-05 5.690e-02 1.849e-06 9.641e-05 2.808e-02
1.535e+00 2.337e-05 5.620e-02 1.775e-06 1.119e-04 2.789e-02
1.694e+00 1.919e-05 5.330e-02 1.505e-06 1.930e-04 2.711e-02
1.870e+00 1.575e-05 5.047e-02 1.287e-06 2.985e-04 2.634e-02
2.000e+00 1.377e-05 4.857e-02 1.161e-06 3.836e-04 2.583e-02
2.044e+00 1.318e-05 4.795e-02 1.123e-06 4.134e-04 2.565e-02
2.065e+00 1.291e-05 4.767e-02 1.105e-06 4.278e-04 2.556e-02
2.279e+00 1.060e-05 4.500e-02 9.534e-07 5.782e-04 2.475e-02
2.516e+00 8.695e-06 4.245e-02 8.260e-07 7.507e-04 2.395e-02
2.778e+00 7.134e-06 4.002e-02 7.185e-07 9.448e-04 2.318e-02
3.000e+00 6.119e-06 3.820e-02 6.465e-07 1.110e-03 2.260e-02
3.066e+00 5.858e-06 3.769e-02 6.277e-07 1.158e-03 2.243e-02
3.385e+00 4.807e-06 3.545e-02 5.500e-07 1.394e-03 2.167e-02
3.737e+00 3.944e-06 3.329e-02 4.833e-07 1.648e-03 2.094e-02
4.000e+00 3.442e-06 3.187e-02 4.430e-07 1.833e-03 2.046e-02
4.125e+00 3.237e-06 3.124e-02 4.260e-07 1.919e-03 2.024e-02
4.554e+00 2.655e-06 2.928e-02 3.763e-07 2.207e-03 1.958e-02
5.000e+00 2.203e-06 2.752e-02 3.355e-07 2.495e-03 1.896e-02
5.027e+00 2.179e-06 2.742e-02 3.333e-07 2.511e-03 1.893e-02
5.549e+00 1.788e-06 2.565e-02 2.957e-07 2.834e-03 1.834e-02
6.000e+00 1.530e-06 2.432e-02 2.694e-07 3.099e-03 1.788e-02
6.126e+00 1.467e-06 2.398e-02 2.629e-07 3.170e-03 1.777e-02
6.762e+00 1.204e-06 2.240e-02 2.342e-07 3.518e-03 1.726e-02
7.000e+00 1.124e-06 2.186e-02 2.250e-07 3.643e-03 1.708e-02
7.465e+00 9.882e-07 2.090e-02 2.088e-07 3.878e-03 1.676e-02
8.000e+00 8.605e-07 1.990e-02 1.929e-07 4.137e-03 1.642e-02
8.241e+00 8.109e-07 1.948e-02 1.865e-07 4.249e-03 1.630e-02
9.000e+00 6.799e-07 1.829e-02 1.688e-07 4.590e-03 1.593e-02
9.097e+00 6.655e-07 1.815e-02 1.668e-07 4.631e-03 1.589e-02
1.000e+01 5.507e-07 1.695e-02 1.501e-07 5.000e-03 1.550e-02
1.004e+01 5.463e-07 1.690e-02 1.494e-07 5.017e-03 1.549e-02
1.100e+01 4.551e-07 1.581e-02 1.350e-07 5.377e-03 1.520e-02
1.109e+01 4.477e-07 1.571e-02 1.338e-07 5.411e-03 1.517e-02
1.200e+01 3.824e-07 1.482e-02 1.227e-07 5.726e-03 1.493e-02
1.224e+01 3.676e-07 1.461e-02 1.201e-07 5.805e-03 1.487e-02
1.300e+01 3.259e-07 1.396e-02 1.125e-07 6.051e-03 1.469e-02
1.351e+01 3.017e-07 1.357e-02 1.078e-07 6.207e-03 1.457e-02
1.400e+01 2.810e-07 1.321e-02 1.038e-07 6.353e-03 1.447e-02
1.491e+01 2.477e-07 1.260e-02 9.695e-08 6.612e-03 1.428e-02
1.500e+01 2.448e-07 1.254e-02 9.632e-08 6.636e-03 1.427e-02
1.600e+01 2.151e-07 1.194e-02 8.987e-08 6.905e-03 1.413e-02
1.646e+01 2.032e-07 1.169e-02 8.719e-08 7.023e-03 1.407e-02
1.800e+01 1.700e-07 1.092e-02 7.926e-08 7.395e-03 1.389e-02
1.818e+01 1.666e-07 1.083e-02 7.842e-08 7.436e-03 1.387e-02
2.000e+01 1.377e-07 1.007e-02 7.087e-08 7.836e-03 1.368e-02
